##Messdaten zur Frequanzabhängigkeit
#U_C/V  U/V     f/Hz
6.93    7.84    10.01
7.76    7.84    20.05
7.76    7.76    50.05
7.76    7.76    100.00
7.68    7.76    200.00
7.76    7.94    500.00
7.76    7.76    1000.00
7.76    7.76    2000.00
8.00    7.84    5000.00
8.87    7.76    10000.00
13.07   7.76    17500.00
14.65   7.76    19000.00
16.24   7.68    20000.00
22.97   7.52    23000.00
28.91   7.29    26000.00
17.92   7.52    30000.00
11.48   7.68    33000.00
2.81    7.76    50000.00
0.47    7.68    100000.00
